stream,composition_group,stream_aadtt_dir,bridge,system,span_m,n_girders,load_effect,unit,lane_layout,governing_section,governing_girder,threshold_u,n_exceedances,max_observed_30d,gpd_shape_xi,gpd_scale_sigma,q117,q117_over_max_observed,tail_fraction_pct,ks_statistic,ks_critical,ks_pass,gpd_support_ok
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M-,kN.m,3s,central_support,1,556.934,175,776.929,-1.91704e-10,44.5492,1110.488,1.4293,0.542,0.06131,0.10281,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,M-,kN.m,3o,central_support,1,560.579,193,776.929,-3.29107e-10,38.7051,1045.304,1.3454,0.558,0.04013,0.09789,True,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,2144,516.132,-1.31735e-10,24.6543,698.408,1.3532,2.865,0.023,0.02937,True,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,1855,508.471,-1.88341e-10,23.6379,676.155,1.3298,2.972,0.02655,0.03158,True,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,2128,613.444,-3.1293e-10,27.6755,739.531,1.2055,3.542,0.02966,0.02948,False,True
MG,intermediate,6470,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,2194,539.307,-1.63071e-10,26.8368,728.893,1.3515,3.416,0.01998,0.02903,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,3524,531.639,-1.34446e-10,25.6381,725.838,1.3653,4.57,0.01664,0.02291,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,3081,528.946,-1.80645e-10,24.8262,706.321,1.3353,4.735,0.01767,0.0245,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,3370,585.158,-1.61175e-10,28.3044,761.929,1.3021,5.377,0.01535,0.02343,True,True
MT,heavy,4232,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,3473,528.946,-1.13674e-10,28.0938,760.593,1.4379,5.213,0.01727,0.02308,True,True
PB,light,2635,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,200,495.432,-1.22253e-10,23.9498,631.078,1.2738,1.689,0.05191,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,200,474.271,-1.78494e-10,22.0148,603.12,1.2717,1.995,0.04908,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,200,474.271,-1.03565e-10,22.4598,608.585,1.2832,2.089,0.05608,0.09617,True,True
PB,light,2635,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,200,474.271,-5.5563e-10,23.2999,620.193,1.3077,1.965,0.05634,0.09617,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,2916,534.994,-1.09885e-10,24.8715,709.3,1.3258,3.022,0.0256,0.02519,False,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,2294,534.994,-1.51606e-10,25.0976,703.07,1.3142,2.868,0.02573,0.0284,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,2773,540.268,-3.29992e-10,29.5916,775.962,1.4363,3.605,0.02124,0.02583,True,True
PR,intermediate,7699,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,2998,534.994,-0.00486456,29.0582,755.112,1.4114,3.625,0.01144,0.02484,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,652,514.014,-1.12457e-10,26.9888,701.139,1.364,1.689,0.0366,0.05326,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,587,514.014,-1.03655e-10,27.4255,700.603,1.363,1.82,0.02996,0.05613,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,658,514.014,-0.0152407,29.7609,695.689,1.3534,2.128,0.02521,0.05302,True,True
RJ,light,6230,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,679,516.379,-0.0111383,29.223,700.915,1.3574,2.052,0.02379,0.05219,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,2457,512.318,-1.03669e-10,24.5957,700.886,1.3681,2.707,0.01249,0.02744,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,2016,512.318,-3.07728e-10,23.86,681.425,1.3301,2.682,0.01844,0.03029,True,True
SC,intermediate,8414,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,2418,556.311,-1.84775e-10,28.8258,760.382,1.3668,3.334,0.01959,0.02766,True,True
