stream,composition_group,bridge,system,span_m,n_girders,load_effect,unit,q117,governing_lane_layout,governing_section,governing_girder
RJ,light,S-20,simply_supported,20,2,V,kN,981.861,3s,first_end_support,1
SC,intermediate,S-20,simply_supported,20,2,V,kN,1039.118,3s,first_end_support,1
SP,light,S-20,simply_supported,20,2,V,kN,976.501,3o,first_end_support,1
ROSSIGALI,,S-20,simply_supported,20,2,V,kN,903.971,3s,first_end_support,1
MG,intermediate,S-30,simply_supported,30,2,M+,kN.m,8893.856,3s,midspan,1
MT,heavy,S-30,simply_supported,30,2,M+,kN.m,9211.425,3o,midspan,1
PB,light,S-30,simply_supported,30,2,M+,kN.m,7600.142,2o,midspan,1
PR,intermediate,S-30,simply_supported,30,2,M+,kN.m,9103.108,3s,midspan,1
RJ,light,S-30,simply_supported,30,2,M+,kN.m,7591.745,2o,midspan,1
SC,intermediate,S-30,simply_supported,30,2,M+,kN.m,8452.535,3s,midspan,1
SP,light,S-30,simply_supported,30,2,M+,kN.m,8331.307,3o,midspan,1
ROSSIGALI,,S-30,simply_supported,30,2,M+,kN.m,7468.32,3o,midspan,1
MG,intermediate,S-30,simply_supported,30,2,V,kN,1286.949,3s,first_end_support,1
MT,heavy,S-30,simply_supported,30,2,V,kN,1323.052,3o,first_end_support,1
PB,light,S-30,simply_supported,30,2,V,kN,1069.931,2o,first_end_support,1
PR,intermediate,S-30,simply_supported,30,2,V,kN,1297.886,3s,first_end_support,1
RJ,light,S-30,simply_supported,30,2,V,kN,1141.852,3o,first_end_support,1
SC,intermediate,S-30,simply_supported,30,2,V,kN,1186.147,3s,second_end_support,1
SP,light,S-30,simply_supported,30,2,V,kN,1195.188,3o,first_end_support,1
ROSSIGALI,,S-30,simply_supported,30,2,V,kN,1011.197,3s,first_end_support,1
MG,intermediate,S-30*,simply_supported,30,5,M+,kN.m,4205.377,3s,midspan,1
MT,heavy,S-30*,simply_supported,30,5,M+,kN.m,4359.022,3o,midspan,1
PB,light,S-30*,simply_supported,30,5,M+,kN.m,3787.427,2o,midspan,1
PR,intermediate,S-30*,simply_supported,30,5,M+,kN.m,4262.881,3s,midspan,1
RJ,light,S-30*,simply_supported,30,5,M+,kN.m,3674.727,3o,midspan,1
SC,intermediate,S-30*,simply_supported,30,5,M+,kN.m,4031.605,3s,midspan,1
SP,light,S-30*,simply_supported,30,5,M+,kN.m,3984.036,2o,midspan,1
ROSSIGALI,,S-30*,simply_supported,30,5,M+,kN.m,3302.171,3o,midspan,1
MG,intermediate,S-30*,simply_supported,30,5,V,kN,670.136,2o,first_end_support,1
MT,heavy,S-30*,simply_supported,30,5,V,kN,695.981,2s,first_end_support,1
PB,light,S-30*,simply_supported,30,5,V,kN,605.274,2o,first_end_support,1
PR,intermediate,S-30*,simply_supported,30,5,V,kN,686.379,2o,first_end_support,1
RJ,light,S-30*,simply_supported,30,5,V,kN,609.958,2o,first_end_support,1
SC,intermediate,S-30*,simply_supported,30,5,V,kN,664.005,2o,first_end_support,1
SP,light,S-30*,simply_supported,30,5,V,kN,660.926,2o,first_end_support,1
ROSSIGALI,,S-30*,simply_supported,30,5,V,kN,503.7,2o,first_end_support,1
MG,intermediate,S-40,simply_supported,40,5,M+,kN.m,6114.001,3s,midspan,1
MT,heavy,S-40,simply_supported,40,5,M+,kN.m,6393.341,3o,midspan,1
PB,light,S-40,simply_supported,40,5,M+,kN.m,5296.728,2o,midspan,1
PR,intermediate,S-40,simply_supported,40,5,M+,kN.m,6307.013,3s,midspan,1
RJ,light,S-40,simply_supported,40,5,M+,kN.m,5281.554,2o,midspan,1
SC,intermediate,S-40,simply_supported,40,5,M+,kN.m,5996.979,3s,midspan,1
SP,light,S-40,simply_supported,40,5,M+,kN.m,5793.217,3o,midspan,1
ROSSIGALI,,S-40,simply_supported,40,5,M+,kN.m,4428.259,2o,midspan,1
MG,intermediate,S-40,simply_supported,40,5,V,kN,731.511,3o,first_end_support,1
MT,heavy,S-40,simply_supported,40,5,V,kN,754.157,2s,first_end_support,1
PB,light,S-40,simply_supported,40,5,V,kN,672.489,2o,first_end_support,1
