bridge,effort,cen,uf,effect,rule,Q117,n_tail,tail_threshold
S-10,V,cen4,SP,CORTANTE_APOIO_INICIO_LONG_1,q95,616.3265134242367,464,318.7166832876009
S-10,V,cen4,SC,CORTANTE_APOIO_INICIO_LONG_1,q95,685.2755159901651,694,321.52406214306893
S-10,V,cen4,PR,CORTANTE_APOIO_INICIO_LONG_1,q95,633.1983091467782,763,319.4029390168766
S-10,V,cen6,MG,CORTANTE_APOIO_INICIO_LONG_1,q95,715.2651402650317,623,325.1761882332537
S-10,V,cen6,MT,CORTANTE_APOIO_FIM_LONG_1,q95,627.423131725252,656,323.70021514212584
S-10,V,cen6,PB,CORTANTE_APOIO_INICIO_LONG_1,q95,596.9553188337395,200,294.7409859027533
S-10,V,cen6,RJ,CORTANTE_APOIO_INICIO_LONG_1,q95,614.6952725317819,248,326.3255870288561
S-10,V,cen6,SP,CORTANTE_APOIO_INICIO_LONG_1,q95,622.815863101854,462,324.97355932020054
S-10,V,cen6,SC,CORTANTE_APOIO_INICIO_LONG_1,q95,666.0117164100199,694,330.11092573159897
S-10,V,cen6,PR,CORTANTE_APOIO_INICIO_LONG_1,q95,634.5896537101112,756,328.7064325445757
S-10,V,cen8,MG,CORTANTE_APOIO_INICIO_LONG_1,q95,675.5783458594301,687,325.0605548341987
S-10,V,cen8,MT,CORTANTE_APOIO_INICIO_LONG_1,q95,605.7005891027641,865,325.3543192505503
S-10,V,cen8,PB,CORTANTE_APOIO_INICIO_LONG_1,q95,589.8099528589623,200,295.7824959819974
S-10,V,cen8,RJ,CORTANTE_APOIO_INICIO_LONG_1,q95,684.8148943303001,273,325.90925418033225
S-10,V,cen8,SP,CORTANTE_APOIO_INICIO_LONG_1,q95,695.9779945559416,513,323.49235413730355
S-10,V,cen8,SC,CORTANTE_APOIO_INICIO_LONG_1,q95,676.8722006479109,776,327.9504426348161
S-10,V,cen8,PR,CORTANTE_APOIO_INICIO_LONG_1,q95,676.9112275778685,848,327.2485204344891
S-10,V,cen2,MG,CORTANTE_APOIO_INICIO_LONG_1,frac058,686.3108976581852,3551,287.90735563397607
S-10,V,cen2,MT,CORTANTE_APOIO_INICIO_LONG_1,frac058,665.8290176461807,3693,292.6822736186833
S-10,V,cen2,PB,CORTANTE_APOIO_INICIO_LONG_1,frac058,595.5996280366423,1322,255.15072584451616
S-10,V,cen2,RJ,CORTANTE_APOIO_INICIO_LONG_1,frac058,643.4197860638329,1553,283.1781289751859
S-10,V,cen2,SP,CORTANTE_APOIO_INICIO_LONG_1,frac058,687.3264096132712,3434,279.61882896745743
S-10,V,cen2,SC,CORTANTE_APOIO_INICIO_LONG_1,frac058,712.4263868617525,2697,296.7903692259269
S-10,V,cen2,PR,CORTANTE_APOIO_INICIO_LONG_1,frac058,685.035366425125,5687,281.23178745967954
S-10,V,cen4,MG,CORTANTE_APOIO_INICIO_LONG_1,frac058,693.789007398725,2913,286.1786933779512
S-10,V,cen4,MT,CORTANTE_APOIO_INICIO_LONG_1,frac058,642.9568211003439,3577,287.0756803932589
S-10,V,cen4,PB,CORTANTE_APOIO_INICIO_LONG_1,frac058,560.1904749962459,1205,253.3907679403329
S-10,V,cen4,RJ,CORTANTE_APOIO_INICIO_LONG_1,frac058,650.7452987279235,1221,283.1781289751859
S-10,V,cen4,SP,CORTANTE_APOIO_INICIO_LONG_1,frac058,672.5133497775103,3861,270.3447503268031
S-10,V,cen4,SC,CORTANTE_APOIO_INICIO_LONG_1,frac058,680.3567405632706,3043,286.1786933779512
S-10,V,cen4,PR,CORTANTE_APOIO_INICIO_LONG_1,frac058,683.2088125607007,4809,277.00832145900756
S-10,V,cen6,MG,CORTANTE_APOIO_INICIO_LONG_1,frac058,731.0661392292509,1472,304.9884377819848
S-10,V,cen6,MT,CORTANTE_APOIO_FIM_LONG_1,frac058,642.8574563069697,2620,288.5997880658038
S-10,V,cen6,PB,CORTANTE_APOIO_INICIO_LONG_1,frac058,560.9830741178193,1153,253.3907679403329
S-10,V,cen6,RJ,CORTANTE_APOIO_INICIO_LONG_1,frac058,644.9007021786285,1266,283.1781289751859
S-10,V,cen6,SP,CORTANTE_APOIO_INICIO_LONG_1,frac058,682.6676885968332,3780,271.6317657782808
S-10,V,cen6,SC,CORTANTE_APOIO_INICIO_LONG_1,frac058,676.4351198018041,3458,286.1786933779512
S-10,V,cen6,PR,CORTANTE_APOIO_INICIO_LONG_1,frac058,682.928917653149,4709,279.74916311872585
S-10,V,cen8,MG,CORTANTE_APOIO_INICIO_LONG_1,frac058,692.076022086547,3412,286.1786933779512
S-10,V,cen8,MT,CORTANTE_APOIO_INICIO_LONG_1,frac058,648.7953853187322,4077,287.0756803932589
S-10,V,cen8,PB,CORTANTE_APOIO_INICIO_LONG_1,frac058,558.1139069526729,1236,253.3907679403329
S-10,V,cen8,RJ,CORTANTE_APOIO_INICIO_LONG_1,frac058,676.7718202091584,886,294.5468574791649
S-10,V,cen8,SP,CORTANTE_APOIO_INICIO_LONG_1,frac058,701.3168706581419,763,314.14823366495125
S-10,V,cen8,SC,CORTANTE_APOIO_INICIO_LONG_1,frac058,672.5574119010839,3577,287.93396663617744
S-10,V,cen8,PR,CORTANTE_APOIO_INICIO_LONG_1,frac058,676.6896259727524,1600,309.990560818331
S-10,M+,cen2,MG,MOMENTO_MEIO_VAO_LONG_1,q85,1541.6335342290504,1477,704.3534551225549
S-10,M+,cen2,MT,MOMENTO_MEIO_VAO_LONG_1,q85,1511.5673552066598,1838,704.3593165389282
S-10,M+,cen2,PB,MOMENTO_MEIO_VAO_LONG_1,q85,1458.3104905811867,200,680.9937259944257
S-10,M+,cen2,RJ,MOMENTO_MEIO_VAO_LONG_1,q85,1456.836494051125,575,704.1865931943156
S-10,M+,cen2,SP,MOMENTO_MEIO_VAO_LONG_1,q85,1504.007478270883,1085,701.1157302537324
S-10,M+,cen2,SC,MOMENTO_MEIO_VAO_LONG_1,q85,1725.7332867121095,1618,707.9051401642197
S-10,M+,cen2,PR,MOMENTO_MEIO_VAO_LONG_1,q85,1567.9458223668935,1784,706.1680986623677
S-10,M+,cen4,MG,MOMENTO_MEIO_VAO_LONG_1,q85,1544.2799536971447,1095,701.9022755679529
S-10,M+,cen4,MT,MOMENTO_MEIO_VAO_LONG_1,q85,1416.5743631644764,1412,699.5592996758302
S-10,M+,cen4,PB,MOMENTO_MEIO_VAO_LONG_1,q85,1455.574713862234,200,669.164972302422
S-10,M+,cen4,RJ,MOMENTO_MEIO_VAO_LONG_1,q85,1484.2100283749614,441,704.4526419249214
S-10,M+,cen4,SP,MOMENTO_MEIO_VAO_LONG_1,q85,1486.7399524440402,806,698.8237948042802
S-10,M+,cen4,SC,MOMENTO_MEIO_VAO_LONG_1,q85,1570.7202499764512,1144,705.3092091651249
S-10,M+,cen4,PR,MOMENTO_MEIO_VAO_LONG_1,q85,1497.461360703072,1249,701.4279722878096
S-10,M+,cen6,MG,MOMENTO_MEIO_VAO_LONG_1,q85,1649.6052063483637,1100,710.2612167183088
S-10,M+,cen6,MT,MOMENTO_MEIO_VAO_LONG_1,q85,1449.4346702925177,1394,709.6883289118769
S-10,M+,cen6,PB,MOMENTO_MEIO_VAO_LONG_1,q85,1447.7616842690095,200,669.164972302422
S-10,M+,cen6,RJ,MOMENTO_MEIO_VAO_LONG_1,q85,1473.5059695520122,436,710.5111260522194
S-10,M+,cen6,SP,MOMENTO_MEIO_VAO_LONG_1,q85,1482.538456985208,822,707.3697906964302
S-10,M+,cen6,SC,MOMENTO_MEIO_VAO_LONG_1,q85,1536.3176700412318,1177,719.7014936583201
S-10,M+,cen6,PR,MOMENTO_MEIO_VAO_LONG_1,q85,1512.871594011735,1278,714.5626665209448
S-10,M+,cen8,MG,MOMENTO_MEIO_VAO_LONG_1,q85,1546.7923605699048,1238,709.8032258894824
S-10,M+,cen8,MT,MOMENTO_MEIO_VAO_LONG_1,q85,1434.8808732854673,1550,709.8789652828407
S-10,M+,cen8,PB,MOMENTO_MEIO_VAO_LONG_1,q85,1422.6678227948535,200,671.8054221370148
S-10,M+,cen8,RJ,MOMENTO_MEIO_VAO_LONG_1,q85,1518.7539053586875,485,708.9844080249136
S-10,M+,cen8,SP,MOMENTO_MEIO_VAO_LONG_1,q85,1537.8142178662806,923,706.4891663446272
