bridge,bridge_slug,effort,model,rule,Q117,ratio_tb45,selected_uf,selected_cen,selected_effect,relative_to_q90_pct
S-50,lb50_5lg,M+,Weibull3P,q925,9505.644751145752,1.545507641841436,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,-0.3157899363789074
S-50,lb50_5lg,M+,Weibull3P,q95,9461.840973949082,1.538385655466886,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,-0.7751532980411091
S-50,lb50_5lg,M+,Weibull3P,frac058,10176.678673914783,1.6546099786870634,MG,cen6,MOMENTO_MEIO_VAO_LONG_1,6.7212378790211025
S-50,lb50_5lg,M+,GPD,q90,13244.29131013115,2.1533682318723923,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,38.89081189824295
S-50,lb50_5lg,M+,GumbelDailyMax,block,9110.16908318529,1.4812078828038844,MT,cen8,MOMENTO_MEIO_VAO_LONG_1,-4.463081423920534
C-10,lc10,M+,Weibull3P,q85,1321.710644704521,1.459486135936971,MG,cen6,MOMENTO_(+)_FIM_LONG_1,-1.2862345996755065
C-10,lc10,M+,Weibull3P,q90,1338.932457235773,1.4785031550748375,MG,cen6,MOMENTO_(+)_FIM_LONG_1,0.0
C-10,lc10,M+,Weibull3P,q925,1352.0697421994903,1.493009874336893,MG,cen6,MOMENTO_(+)_FIM_LONG_1,0.981176077457957
C-10,lc10,M+,Weibull3P,q95,1360.6866023725033,1.5025249584502025,MG,cen6,MOMENTO_(+)_FIM_LONG_1,1.624738053003938
C-10,lc10,M+,Weibull3P,frac058,1352.5285248506598,1.4935164806213115,MG,cen6,MOMENTO_(+)_FIM_LONG_1,1.015440886611696
C-10,lc10,M+,GPD,q90,1742.2459378680987,1.923858146939155,RJ,cen6,MOMENTO_(+)_FIM_LONG_1,30.12201836267132
C-10,lc10,M+,GumbelDailyMax,block,1355.770375917258,1.4970962631595164,MG,cen6,MOMENTO_(+)_FIM_LONG_1,1.257562962977743
C-10,lc10,V,Weibull3P,q85,790.6609241644462,1.47264094647876,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,-1.660028435001093
C-10,lc10,V,Weibull3P,q90,804.0076802766309,1.497499870137141,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,0.0
C-10,lc10,V,Weibull3P,q925,811.4165380053228,1.5112991953908042,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,0.9214909148806516
