bridge,variant,paper_effort,worst_cen,effect,unit,n_peaks,mean,std,skewness,kurtosis,weibull_k,weibull_alpha,weibull_u,N_TR117,Q_TR117,R_TR117,N_TR174,Q_TR174,R_TR174
lb10,sc,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,2958,761.3140909303421,62.485719267738304,1.7252857356272089,7.095909123248308,1.1036917546764018,71.45683570998432,692.4402243517654,4210713.0,1536.2151056878251,0.019951728876628515,6262086.0,1556.0830986261844,0.019999936164968136
lb10,sc,V,cen2,CORTANTE_APOIO_INICIO_LONG_1,kN,2806,310.1808488625938,24.370740272915175,2.1023328393011194,9.767140514272265,0.9673312867991627,23.22808376223394,286.61012216654916,3994341.0,673.6731494033048,0.03798815949459392,5940302.0,684.125219176037,0.03795510632824593
lb10,sp,M+,cen2,MOMENTO_MEIO_VAO_LONG_1,kN.m,3876,673.9575218326827,54.39131455388695,2.0977392635536933,9.134739099953755,0.9687382244504988,51.95184516980098,621.274443078148,5517486.0,1502.36926621591,0.01706756459166446,8205492.0,1525.6323247614691,0.01705366566260331
lb10,sp,V,cen2,CORTANTE_APOIO_INICIO_LONG_1,kN,3992,293.7582311026549,23.895874050535692,2.135052844170671,9.410009637103032,0.9574632780626415,22.433213382780185,270.8852568396044,5682612.0,665.0261334541794,0.03778179866300559,8451064.0,675.5366051804941,0.037739527224863824
lb20,mg,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,5394,2133.0942070331084,210.07371179063946,1.4326941998476337,5.270299269838631,1.248201426491141,279.71138242998234,1872.489836974921,7678359.0,4432.271025491847,0.007730692438762688,11419098.0,4483.482906351017,0.007768794640659279
lb20,mg,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,5519,485.06692543720624,46.29049450847449,1.5934297883853217,5.88704330731746,1.1636740786954762,56.62187863683679,431.36198642689806,7856296.5,1040.6983817632556,0.030320609204486426,11683723.0,1053.765078202723,0.030426088050304865
lb20,mt,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,3347,2566.0931723364606,181.68734980401894,1.6102266786406325,7.396998414144537,1.155600701645017,220.31563236050818,2356.712994353803,4764454.5,4701.471578838682,0.007578314475478266,7085599.0,4753.752115801614,0.007604362457999373
lb20,mt,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,2750,590.2665391466566,41.849591563327586,1.8756133677841333,9.225946403292552,1.0437939101830125,44.42716544324857,546.5954953071908,3914625.0,1148.2742643891993,0.026334703075855264,5821750.0,1163.336732995031,0.026363234835763767
lb20,orig,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,1457,2129.270069682742,192.85965765311664,1.4052580101444605,5.587962262350424,1.2640724126249552,260.6216767868446,1887.1395055875917,2074039.5,4053.97778568398,0.008485148349218492,3084469.0,4100.61956849848,0.008533002558147684
lb20,orig,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,2758,444.0089228472857,41.56123856807292,1.852137816475428,7.203827622308702,1.0526143914088608,44.62949629217196,400.277078373163,3926013.0,991.7483978042433,0.027020729232162585,5838686.0,1006.4269219870354,0.0270556028011634
