bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
S-20,S,20,V,pr,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,1077.9,1070.2,1086.6,0.9844,39.023,404.547,kN,8583,2lg
S-20,S,20,V,rj,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,1017.1,1009.3,1025.9,0.9567,35.395,389.113,kN,3703,2lg
S-20,S,20,V,sc,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,1049.6,1042.2,1058.0,0.9938,38.748,401.184,kN,8071,2lg
S-20,S,20,V,sp,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,1054.2,1046.0,1063.4,0.9331,33.468,396.221,kN,5779,2lg
S-20,S,20,M+,mg,cen6,MOMENTO_MEIO_VAO_LONG_1,1,4778.4,4742.4,4819.0,0.9792,178.262,1908.12,kN.m,2324,2lg
S-20,S,20,M+,mt,cen6,MOMENTO_MEIO_VAO_LONG_1,1,4714.0,4681.3,4750.9,1.0212,189.502,1930.776,kN.m,3302,2lg
S-20,S,20,M+,pb,cen2,MOMENTO_MEIO_VAO_LONG_1,1,4179.1,4143.0,4219.9,0.8856,122.719,1870.525,kN.m,404,2lg
S-20,S,20,M+,pr,cen6,MOMENTO_MEIO_VAO_LONG_1,1,4627.3,4596.2,4662.3,1.0596,205.789,1893.359,kN.m,3143,2lg
S-20,S,20,M+,rj,cen8,MOMENTO_MEIO_VAO_LONG_1,1,4268.1,4236.8,4303.4,0.9977,166.265,1870.913,kN.m,976,2lg
S-20,S,20,M+,sc,cen6,MOMENTO_MEIO_VAO_LONG_1,1,4394.9,4366.8,4426.5,1.0855,202.385,1889.777,kN.m,2702,2lg
S-20,S,20,M+,sp,cen6,MOMENTO_MEIO_VAO_LONG_1,1,5041.3,4996.5,5091.9,0.8805,146.743,1903.406,kN.m,1605,2lg
C-30,C,30,V,mg,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1485.2,1472.9,1499.1,0.8891,41.512,535.451,kN,6126,2lg
C-30,C,30,V,mt,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1,1518.1,1506.5,1531.1,0.9391,48.588,567.687,kN,7151,2lg
C-30,C,30,V,pb,cen2,CORTANTE_APOIO_CENTRAL_LONG_1,1,1168.3,1159.6,1178.0,0.9653,40.563,523.703,kN,1086,2lg
C-30,C,30,V,pr,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1491.0,1479.4,1504.1,0.934,47.813,534.589,kN,7854,2lg
C-30,C,30,V,rj,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1180.8,1173.0,1189.5,1.094,57.521,477.86,kN,3028,2lg
C-30,C,30,V,sc,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1370.0,1360.0,1381.2,0.9706,47.652,522.249,kN,7312,2lg
C-30,C,30,V,sp,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1,1292.8,1283.3,1303.5,0.9616,43.71,512.837,kN,5046,2lg
C-30,C,30,M+,mg,cen6,MOMENTO_(+)_INICIO_LONG_1,1,7422.8,7363.1,7490.1,0.9093,220.05,2622.356,kN.m,8506,2lg
C-30,C,30,M+,mt,cen8,MOMENTO_(+)_INICIO_LONG_1,1,7772.1,7711.8,7840.2,0.9289,242.458,2821.034,kN.m,8345,2lg
C-30,C,30,M+,pb,cen2,MOMENTO_(+)_FIM_LONG_1,1,5905.9,5862.5,5954.8,0.9869,221.462,2485.618,kN.m,1723,2lg
