bridge,bridge_slug,effort,composition,volume,AADTT,n_days,threshold_u,n_tail,n_recorded,Q117,R2,R1_mean_log_daily_max,mean_daily_max
C-20,lc20,M-,mt,pb,2635.0,30,797.8027873049663,34515,60487,2123.0212577413063,1561.74291024812,7.537691173822498,1879.2231246504875
C-20,lc20,M-,mt,mg,6470.0,30,797.8027873049663,88359,149917,2280.1275085200587,1688.3734884812554,7.641177107308949,2085.4757738443377
C-20,lc20,M-,mt,sc,8414.0,30,797.8027873049663,116245,192941,2349.6380835062523,1736.2743500615097,7.640703382547088,2084.356151990068
C-20,lc20,M-,pb,p25,502.0,30,797.8027873049663,1000,3889,2261.9328280693694,907.9747920582607,7.269385896239458,1439.7511014792306
C-20,lc20,M-,pb,p50,1092.0,30,797.8027873049663,2171,8594,2287.2114237086475,1150.6846882750838,7.3044483039889325,1490.916695898565
C-20,lc20,M-,pb,pb,2635.0,30,797.8027873049663,5332,21280,2401.600028476544,1264.592811767241,7.380141845258053,1607.4263615179746
C-20,lc20,M-,pb,mg,6470.0,30,797.8027873049663,13866,54476,2518.9580332870573,1361.1498172934266,7.446657734061243,1717.9480011831326
C-20,lc20,M-,pb,sc,8414.0,30,797.8027873049663,18460,72191,2574.3469597552003,1396.853804534862,7.462345984888269,1744.5847303571827
C-20,lc20,V,mg,p25,502.0,30,342.9643761211122,2991,8506,805.9754631884787,430.25477582057334,6.321096465606209,557.1846159266445
C-20,lc20,V,mg,p50,1092.0,30,342.9643761211122,6521,18571,809.5110164247199,458.63706024325336,6.359354852515326,579.3582307182377
C-20,lc20,V,mg,pb,2635.0,30,342.9643761211122,15558,44612,849.3087339887488,490.8761090416672,6.415884530152459,612.749719141529
C-20,lc20,V,mg,mg,6470.0,30,342.9643761211122,38957,110050,903.6579031068711,531.312621075955,6.495425600659849,663.4944006749237
C-20,lc20,V,mg,sc,8414.0,30,342.9643761211122,51409,142782,913.0849790828315,544.9338345614681,6.510434640114242,673.273016439554
C-20,lc20,V,mt,p25,502.0,30,342.9643761211122,6322,11238,803.427888889114,470.1074850421813,6.380756137367153,591.8188855283231
C-20,lc20,V,mt,p50,1092.0,30,342.9643761211122,13864,24423,847.1336247804782,506.7933340969984,6.457280247728429,638.9607515333228
C-20,lc20,V,mt,pb,2635.0,30,342.9643761211122,33659,59150,855.9621786657524,545.3313602212606,6.490642479193974,659.5864206464611
C-20,lc20,V,mt,mg,6470.0,30,342.9643761211122,84166,145108,910.5820123711648,587.1334140628136,6.5775708011740965,720.2420299968595
C-20,lc20,V,mt,sc,8414.0,30,342.9643761211122,109478,186066,927.906622889778,603.0190422082047,6.600342567940737,736.8625334060206
C-20,lc20,V,pb,p25,502.0,30,342.9643761211122,1000,3884,734.6492880934145,378.83931151127194,6.226930401176442,507.46606312881863
C-20,lc20,V,pb,p50,1092.0,30,342.9643761211122,2129,8563,760.7331130845076,414.6847707357348,6.274660627260348,532.3171799259726
C-20,lc20,V,pb,pb,2635.0,30,342.9643761211122,5223,20995,805.6091262686881,445.1631439632201,6.345823052790882,571.1952449947222
C-20,lc20,V,pb,mg,6470.0,30,342.9643761211122,13186,52159,846.2316411870446,477.8709512066468,6.412574943654532,610.9878125262318
C-20,lc20,V,pb,sc,8414.0,30,342.9643761211122,17276,68161,860.731577335577,489.6950633848805,6.426076668234271,618.9471543361934
S-10,lb10,M+,mg,p25,502.0,30,508.30795595557265,3112,8117,1309.8090715384735,604.7826448432966,6.6804197671506085,799.5753602121732
S-10,lb10,M+,mg,p50,1092.0,30,508.30795595557265,6796,17757,1342.7069217707067,646.6836611897049,6.72066298626721,831.4892173703596
S-10,lb10,M+,mg,pb,2635.0,30,508.30795595557265,16342,42586,1391.4517043617366,698.2669046660881,6.79337005881069,893.505095162266
S-10,lb10,M+,mg,mg,6470.0,30,508.30795595557265,41324,105244,1452.0010100089225,752.6965219900029,6.863036885420711,958.2079680973548
S-10,lb10,M+,mg,sc,8414.0,30,508.30795595557265,54720,137501,1462.918981311919,771.7920737702551,6.877515946626054,971.6642028655403
S-10,lb10,M+,mt,p25,502.0,30,508.30795595557265,5728,10842,1216.8679783440934,639.3784735627594,6.6834160136533445,800.1190235682939
S-10,lb10,M+,mt,p50,1092.0,30,508.30795595557265,12584,23505,1300.181574496745,687.9642640294453,6.75705304576204,861.8424107226494
S-10,lb10,M+,mt,pb,2635.0,30,508.30795595557265,30740,56892,1357.423200520249,734.818288083133,6.806636638113554,905.2705056190772
S-10,lb10,M+,mt,mg,6470.0,30,508.30795595557265,77471,140952,1436.177374093044,794.0243246522832,6.892312757474064,986.3571160236711
S-10,lb10,M+,mt,sc,8414.0,30,508.30795595557265,102242,183516,1444.302659144654,815.5211685242193,6.885391176650817,979.2078422150233
S-10,lb10,M+,pb,p25,502.0,30,508.30795595557265,1000,3858,1185.3583704871287,540.4609210689648,6.5832362594111515,724.6971058157249
S-10,lb10,M+,pb,p50,1092.0,30,508.30795595557265,2157,8483,1275.9134701001526,573.6168031062307,6.624299304362832,755.2684399035944
S-10,lb10,M+,pb,pb,2635.0,30,508.30795595557265,5342,20839,1288.6507207502498,624.3064038550066,6.69626076602968,810.9288849264275
S-10,lb10,M+,pb,mg,6470.0,30,508.30795595557265,13644,51602,1339.2248873196036,673.4089647675045,6.747734573435701,853.5476670890806
S-10,lb10,M+,pb,sc,8414.0,30,508.30795595557265,18085,67595,1366.5403404504764,687.7992026295416,6.776347215072033,878.9580165527874
S-10,lb10,V,mg,p25,502.0,30,226.0039624231419,2987,8194,598.7391175296829,264.785269471879,5.869988185160014,355.4339380347307
S-10,lb10,V,mg,p50,1092.0,30,226.0039624231419,6557,17960,599.0588268773399,283.89171952798347,5.902953834636135,366.95903434648955
S-10,lb10,V,mg,pb,2635.0,30,226.0039624231419,15534,43046,614.1019965605948,305.3785189336449,5.961447121440335,388.9353694513495
S-10,lb10,V,mg,mg,6470.0,30,226.0039624231419,39148,106114,642.0313886459847,328.9308332139677,6.030998540316821,417.0315988663848
S-10,lb10,V,mg,sc,8414.0,30,226.0039624231419,51834,138339,640.1197508763942,337.12566654309603,6.040406006623369,420.7076217994984
S-10,lb10,V,mt,p25,502.0,30,226.0039624231419,5344,10865,546.2756426250849,280.4868979613911,5.867815472273276,354.06404912232705
S-10,lb10,V,mt,p50,1092.0,30,226.0039624231419,11789,23544,578.7802328575556,302.22938195030173,5.934685383801768,378.59981952436954
S-10,lb10,V,mt,pb,2635.0,30,226.0039624231419,28769,56998,601.5591043647808,321.34388298162963,5.988351316149934,399.56164177140187
S-10,lb10,V,mt,mg,6470.0,30,226.0039624231419,72692,140890,631.7677991924445,346.9426748150727,6.0681816630880405,432.8342055275476
S-10,lb10,V,mt,sc,8414.0,30,226.0039624231419,96027,183361,632.4396118689497,353.47130780930695,6.068819655774265,433.04902138779136
S-10,lb10,V,pb,p25,502.0,30,226.0039624231419,1000,3954,511.0440164373993,236.96310004172486,5.750653482327093,315.0864054725667
S-10,lb10,V,pb,p50,1092.0,30,226.0039624231419,2154,8716,554.9641360351472,252.57082245590027,5.793320535844982,328.9207312459922
S-10,lb10,V,pb,pb,2635.0,30,226.0039624231419,5343,21332,564.8227214561729,272.8662051211397,5.860999534573959,351.8038610835551
S-10,lb10,V,pb,mg,6470.0,30,226.0039624231419,13468,52566,597.2731127777537,295.7736922964391,5.925331870971827,375.202179832078
S-10,lb10,V,pb,sc,8414.0,30,226.0039624231419,17933,68814,603.3852817584873,301.51019526683683,5.952256348422895,385.5188712882224
S-20,lb20,M+,mg,p25,502.0,30,1434.2611932797186,2916,8309,3534.6167033111196,1725.3633741718068,7.724967900015036,2269.9545420452323
S-20,lb20,M+,mg,p50,1092.0,30,1434.2611932797186,6358,18190,3545.812229879665,1849.0745283628974,7.758241800377845,2346.5062733464333
S-20,lb20,M+,mg,pb,2635.0,30,1434.2611932797186,15201,43714,3679.686767164436,1995.7485840427205,7.819756077561055,2493.201318265816
S-20,lb20,M+,mg,mg,6470.0,30,1434.2611932797186,38671,108315,3887.06172460576,2160.858848091797,7.893896602278785,2684.4383725130406
S-20,lb20,M+,mg,sc,8414.0,30,1434.2611932797186,51412,141535,3903.4869072677893,2225.4253771951667,7.902145154501842,2707.655702158483
S-20,lb20,M+,mt,p25,502.0,30,1434.2611932797186,5834,11035,3451.1368661656834,1868.1874262754418,7.75786383385548,2345.4340273063335
S-20,lb20,M+,mt,p50,1092.0,30,1434.2611932797186,12876,23945,3679.3085029333024,2010.6506219219627,7.831341148222109,2524.6875343739694
S-20,lb20,M+,mt,pb,2635.0,30,1434.2611932797186,31442,58035,3802.1711326933687,2176.6025634880084,7.88722110798067,2666.6327186302337
S-20,lb20,M+,mt,mg,6470.0,30,1434.2611932797186,79620,144003,4053.422160822418,2363.5005925508926,7.968472343284669,2892.522869497647
S-20,lb20,M+,mt,sc,8414.0,30,1434.2611932797186,105185,187238,4119.356196916759,2426.1175630469347,7.990844165433051,2958.8339322470174
S-20,lb20,M+,pb,p25,502.0,30,1434.2611932797186,1000,3897,2948.7482601324805,1548.1676181655512,7.616302749845455,2035.0111393289033
S-20,lb20,M+,pb,p50,1092.0,30,1434.2611932797186,2146,8578,3190.369513295724,1667.6147731154927,7.660746401144025,2129.1907520518967
S-20,lb20,M+,pb,pb,2635.0,30,1434.2611932797186,5265,21091,3339.468719859843,1799.197298741012,7.739798733318164,2301.3210382685193
S-20,lb20,M+,pb,mg,6470.0,30,1434.2611932797186,13275,52509,3563.4609738992076,1931.4076395796362,7.795698304731796,2436.4647680940816
S-20,lb20,M+,pb,sc,8414.0,30,1434.2611932797186,17553,68864,3598.0950879599195,1978.3143888401762,7.8216385037831,2498.3412481937794
S-20,lb20,V,mg,p25,502.0,30,338.4882288555066,3041,8521,827.3020735012842,403.4604387956144,6.268575879003601,529.0091463502926
S-20,lb20,V,mg,p50,1092.0,30,338.4882288555066,6662,18597,830.7595305481308,431.9997565641082,6.295986690059707,543.7189087910516
S-20,lb20,V,mg,pb,2635.0,30,338.4882288555066,15906,44700,858.0684773651546,463.63112275168413,6.3575958449030345,577.7570327290703
S-20,lb20,V,mg,mg,6470.0,30,338.4882288555066,39724,110494,903.1393992763517,497.95104953766867,6.428665444484938,620.3475388213212
S-20,lb20,V,mg,sc,8414.0,30,338.4882288555066,52504,144173,900.2636779155323,509.4909574728996,6.432550310675171,622.7352562204319
S-20,lb20,V,mt,p25,502.0,30,338.4882288555066,6035,11219,820.5750280199738,434.590182441035,6.301058071498869,546.3562262841925
S-20,lb20,V,mt,p50,1092.0,30,338.4882288555066,13303,24386,870.6870303846326,466.8489627133001,6.371816238237418,586.4794782445479
S-20,lb20,V,mt,pb,2635.0,30,338.4882288555066,32311,59018,883.2036019611955,501.3136004558177,6.420347690255688,614.9059315974438
S-20,lb20,V,mt,mg,6470.0,30,338.4882288555066,81084,145921,933.6402307368207,540.5762653063856,6.500029983298217,666.3016642364493
S-20,lb20,V,mt,sc,8414.0,30,338.4882288555066,106558,189505,932.7044256781423,551.4549271871637,6.511676982460204,674.088691095635
S-20,lb20,V,pb,p25,502.0,30,338.4882288555066,1000,3942,718.9899276952664,361.51836532065255,6.165290081581576,476.93830708728626
S-20,lb20,V,pb,p50,1092.0,30,338.4882288555066,2139,8672,764.9744431561576,387.4566385685402,6.206663624816613,497.1574777341675
S-20,lb20,V,pb,pb,2635.0,30,338.4882288555066,5230,21290,801.0485622320504,418.5331385544167,6.2813133656538325,535.3061991412837
S-20,lb20,V,pb,mg,6470.0,30,338.4882288555066,13124,52743,848.4037347045642,449.3352159405952,6.3410608274446405,568.716895114475
S-20,lb20,V,pb,sc,8414.0,30,338.4882288555066,17235,69054,857.567990246245,458.2098263516227,6.359875075879244,579.2121137607639
S-30,lb30,M+,mg,p25,502.0,30,2698.4347035761202,2923,8451,6500.007428656463,3483.3140186005153,8.411333419729496,4504.421487072194
S-30,lb30,M+,mg,p50,1092.0,30,2698.4347035761202,6390,18516,6569.521684222615,3716.419146576612,8.448874074825243,4683.342936127912
S-30,lb30,M+,mg,pb,2635.0,30,2698.4347035761202,15360,44597,6890.937351484506,3983.231571829551,8.51255297281157,4987.15171963009
S-30,lb30,M+,mg,mg,6470.0,30,2698.4347035761202,39064,110796,7384.085471632083,4346.407402106442,8.593317815065472,5406.13119174037
S-30,lb30,M+,mg,sc,8414.0,30,2698.4347035761202,51858,144798,7442.5045434409785,4452.33866404558,8.607253867636796,5481.372758150707
S-30,lb30,M+,mt,p25,502.0,30,2698.4347035761202,6252,11259,6301.47079714561,3830.600182955542,8.473930464705623,4798.989383568322
S-30,lb30,M+,mt,p50,1092.0,30,2698.4347035761202,13739,24445,6655.254618668596,4123.286083246279,8.541558888875745,5134.745861870285
S-30,lb30,M+,mt,pb,2635.0,30,2698.4347035761202,33532,59291,6890.925172269191,4456.927273288362,8.598862931484947,5431.391198445732
S-30,lb30,M+,mt,mg,6470.0,30,2698.4347035761202,84669,146519,7470.70504675759,4842.703069274393,8.680546833537004,5895.168278624178
S-30,lb30,M+,mt,sc,8414.0,30,2698.4347035761202,111160,189926,7609.482024082446,4962.647903803683,8.7049132000303,6042.73300265224
S-30,lb30,M+,pb,p25,502.0,30,2698.4347035761202,1000,3904,5887.003204812747,3000.0556534490374,8.305168657824689,4055.506155271297
S-30,lb30,M+,pb,p50,1092.0,30,2698.4347035761202,2140,8579,6106.59574006289,3327.4405731194206,8.356802609267278,4268.113201225189
S-30,lb30,M+,pb,pb,2635.0,30,2698.4347035761202,5274,21141,6515.467199219001,3609.869188409957,8.434503504749044,4612.224143715401
S-30,lb30,M+,pb,mg,6470.0,30,2698.4347035761202,13425,53128,6835.894334774464,3880.91121626026,8.494512363978323,4900.64536117659
S-30,lb30,M+,pb,sc,8414.0,30,2698.4347035761202,17712,69620,7096.269262288677,3987.032874302265,8.53279771225425,5088.726115315742
