UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used,vmda_group_share,scaled,share_scaled_by_vmda,fallback_all_umos
ES,C,2S2,0.1145908264560091,2,11641,0.12668544978868987,0.014516990391237215,0.014516990391237211,False
ES,C,2I2,0.081756235367975,2,11641,0.12668544978868987,0.010357325450621907,0.010357325450621905,False
ES,C,3S1,0.001026694045174538,2,11641,0.12668544978868987,0.00013006719690830584,0.0001300671969083058,False
ES,D,2S3,0.8649684689010532,2,11641,0.07576977259005836,0.06553846418620377,0.06553846418620375,False
ES,D,3S2,0.07797944876596563,2,11641,0.07576977259005836,0.005908485099695323,0.005908485099695321,False
ES,D,2I3,0.02839399468612952,2,11641,0.07576977259005836,0.0021514065202913593,0.002151406520291359,False
ES,D,3I2,0.021799673485066742,2,11641,0.07576977259005836,0.0016517563025010321,0.0016517563025010317,False
ES,D,3C2,0.0068584141617849485,2,11641,0.07576977259005836,0.0005196604813668813,0.0005196604813668812,False
ES,E,3S3,0.6002859690489337,2,11641,0.16301066613000603,0.09785301568316288,0.09785301568316285,False
ES,E,3I3,0.38854388962676656,2,11641,0.16301066613000603,0.06333679826880276,0.06333679826880274,False
ES,E,3I1,0.0043473637869539915,2,11641,0.16301066613000603,0.0007086666668208358,0.0007086666668208357,False
ES,E,2R4,0.002529510961214165,2,11641,0.16301066613000603,0.0004123372667706729,0.0004123372667706728,False
ES,E,3C3,0.0022123893805309734,2,11641,0.16301066613000603,0.00036064306665930536,0.0003606430666593053,False
ES,E,3LD,0.0010404385978002955,2,11641,0.16301066613000603,0.0001696025888947956,0.00016960258889479556,False
ES,E,3D3,0.000829646017699115,2,11641,0.16301066613000603,0.0001352411499972395,0.00013524114999723948,False
ES,E,2N4,0.00021079258010118043,2,11641,0.16301066613000603,3.4361438897556074e-05,3.436143889755607e-05,False
ES,F,4DT,0.6450072036458376,2,11641,0.0258603340712417,0.01668010176463879,0.016680101764638786,False
ES,F,3T4,0.35382339995680545,2,11641,0.0258603340712417,0.009149991325105555,0.009149991325105553,False
ES,F,4R3,0.0011693963973569317,2,11641,0.0258603340712417,3.0240981497356756e-05,3.024098149735675e-05,False
ES,G,3V5,0.6285714285714286,2,11641,0.0011068625477963373,0.0006957421729005548,0.0006957421729005547,False
ES,G,3M5,0.37142857142857144,2,11641,0.0011068625477963373,0.00041112037489578245,0.00041112037489578234,False
ES,H,3M6,0.5900718414087398,2,11641,0.022841618031797142,0.013478195612777615,0.013478195612777612,False
ES,H,3T6,0.4099281585912602,2,11641,0.022841618031797142,0.009363422419019527,0.009363422419019525,False
GO,A,2C,0.9866310160427807,1,10149,0.2521015036110344,0.2487311626536676,0.2487311626536676,False
GO,A,2CB,0.009358288770053475,1,10149,0.2521015036110344,0.0023592386701567387,0.0023592386701567387,False
GO,A,2CC,0.004010695187165776,1,10149,0.2521015036110344,0.0010111022872100312,0.0010111022872100312,False
GO,B,3C,0.97483989021043,1,10149,0.19006274912190693,0.18528074948709225,0.18528074948709225,False
GO,B,3BB,0.021043000914913082,1,10149,0.19006274912190693,0.003999490603663183,0.003999490603663183,False
GO,B,3CB,0.0013723696248856359,1,10149,0.19006274912190693,0.00026083634371716413,0.00026083634371716413,False
GO,B,2I1,0.0009149130832570906,1,10149,0.19006274912190693,0.00017389089581144277,0.00017389089581144277,False
GO,B,2S1,0.0009149130832570906,1,10149,0.19006274912190693,0.00017389089581144277,0.00017389089581144277,False
GO,B,3BC,0.0004574565416285453,1,10149,0.19006274912190693,8.694544790572138e-05,8.694544790572138e-05,False
GO,B,3DB,0.0004574565416285453,1,10149,0.19006274912190693,8.694544790572138e-05,8.694544790572138e-05,False
GO,C,4CD,0.7853025936599424,1,10149,0.14523067208650697,0.11405002346851052,0.11405002346851052,False
GO,C,2S2,0.17435158501440923,1,10149,0.14523067208650697,0.02532119787099041,0.02532119787099041,False
GO,C,2I2,0.03314121037463977,1,10149,0.14523067208650697,0.004813120256469251,0.004813120256469251,False
GO,C,2C2,0.002881844380403458,1,10149,0.14523067208650697,0.0004185321962147175,0.0004185321962147175,False
GO,C,4BD,0.002881844380403458,1,10149,0.14523067208650697,0.0004185321962147175,0.0004185321962147175,False
GO,C,4C,0.001440922190201729,1,10149,0.14523067208650697,0.00020926609810735874,0.00020926609810735874,False
GO,D,2S3,0.842948717948718,1,10149,0.08666482497336123,0.07305400310254488,0.07305400310254488,False
GO,D,3S2,0.08974358974358974,1,10149,0.08666482497336123,0.007777612497609341,0.007777612497609341,False
GO,D,2I3,0.041666666666666664,1,10149,0.08666482497336123,0.003611034373890051,0.003611034373890051,False
GO,D,3I2,0.022435897435897436,1,10149,0.08666482497336123,0.0019444031244023352,0.0019444031244023352,False
GO,D,3C2,0.003205128205128205,1,10149,0.08666482497336123,0.00027777187491461933,0.00027777187491461933,False
GO,E,3S3,0.8013743455497382,1,10149,0.1714353368325506,0.13738388085828418,0.13738388085828418,False
GO,E,3I3,0.1950261780104712,1,10149,0.1714353368325506,0.0334343785183901,0.0334343785183901,False
GO,E,3I1,0.0032722513089005235,1,10149,0.1714353368325506,0.0005609795053421159,0.0005609795053421159,False
GO,E,2R4,0.0003272251308900524,1,10149,0.1714353368325506,5.609795053421159e-05,5.609795053421159e-05,False
GO,F,3T4,0.9907940161104718,1,10149,0.07178657405580331,0.07112570801156116,0.07112570801156116,False
GO,F,4DT,0.004602991944764097,1,10149,0.07178657405580331,0.00033043302212107395,0.00033043302212107395,False
GO,F,3D4,0.0023014959723820483,1,10149,0.07178657405580331,0.00016521651106053697,0.00016521651106053697,False
GO,F,4R3,0.0023014959723820483,1,10149,0.07178657405580331,0.00016521651106053697,0.00016521651106053697,False
GO,G,3M5,0.5,1,10149,0.0021311022534433086,0.0010655511267216543,0.0010655511267216543,False
GO,G,3P5,0.3333333333333333,1,10149,0.0021311022534433086,0.0007103674178144362,0.0007103674178144362,False
GO,G,3V5,0.16666666666666666,1,10149,0.0021311022534433086,0.0003551837089072181,0.0003551837089072181,False
GO,H,3M6,0.5623973727422004,1,10149,0.08058723706539327,0.04532205040213004,0.04532205040213004,False
GO,H,3T6,0.4376026272577997,1,10149,0.08058723706539327,0.035265186663263226,0.035265186663263226,False
MA,A,2C,0.976461038961039,2,5846,0.2933711354124477,0.2864654836860183,0.2864654836860183,False
MA,A,2CC,0.02353896103896104,2,5846,0.2933711354124477,0.006905651726429369,0.006905651726429369,False
MA,B,3C,0.9995598591549296,2,5846,0.20494127176994734,0.2048510687454007,0.2048510687454007,False
MA,B,2S1,0.0004401408450704226,2,5846,0.20494127176994734,9.020302454663177e-05,9.020302454663177e-05,False
MA,C,4CD,0.887386591257217,2,5846,0.11502632644795464,0.10207281973149034,0.10207281973149034,False
MA,C,2I2,0.06112289383763403,2,5846,0.11502632644795464,0.007030741940011367,0.007030741940011367,False
MA,C,2S2,0.051490514905149054,2,5846,0.11502632644795464,0.005922764776452949,0.005922764776452949,False
MA,D,2S3,0.9168446026097272,2,5846,0.08451464830565682,0.07748679914050079,0.07748679914050079,False
MA,D,3S2,0.05047449584816133,2,5846,0.08451464830565682,0.004265834265012689,0.004265834265012689,False
MA,D,3I2,0.02022538552787663,2,5846,0.08451464830565682,0.0017093413447348146,0.0017093413447348146,False
MA,D,2I3,0.010676156583629894,2,5846,0.08451464830565682,0.000902291618921603,0.000902291618921603,False
MA,D,2C3,0.0017793594306049821,2,5846,0.08451464830565682,0.00015038193648693384,0.00015038193648693384,False
MA,E,3S3,0.8228985571439645,2,5846,0.13001215066828675,0.10698681119611689,0.10698681119611689,False
MA,E,3I3,0.17334204435979497,2,5846,0.13001215066828675,0.02253657198845451,0.02253657198845451,False
MA,E,2R4,0.0010741138560687435,2,5846,0.13001215066828675,0.00013964785249010394,0.00013964785249010394,False
MA,E,3C3,0.0010741138560687435,2,5846,0.13001215066828675,0.00013964785249010394,0.00013964785249010394,False
MA,E,3I1,0.0010741138560687435,2,5846,0.13001215066828675,0.00013964785249010394,0.00013964785249010394,False
MA,E,2N4,0.0005370569280343717,2,5846,0.13001215066828675,6.982392624505197e-05,6.982392624505197e-05,False
MA,F,3T4,0.9169213139801375,2,5846,0.049682732550290265,0.0455551564121359,0.0455551564121359,False
MA,F,4DT,0.07047364400305577,2,5846,0.049682732550290265,0.003501323206848187,0.003501323206848187,False
MA,F,3D4,0.012605042016806723,2,5846,0.049682732550290265,0.0006262529313061798,0.0006262529313061798,False
MA,G,3V5,0.8,2,5846,0.0033751856352099365,0.0027001485081679494,0.0027001485081679494,False
MA,G,3M5,0.16666666666666666,2,5846,0.0033751856352099365,0.000562530939201656,0.000562530939201656,False
MA,G,3P5,0.03333333333333333,2,5846,0.0033751856352099365,0.00011250618784033122,0.00011250618784033122,False
MA,H,3T6,0.5035148344036626,2,5846,0.11907654921020656,0.05995680895693674,0.05995680895693674,False
MA,H,3M6,0.258990508659625,2,5846,0.11907654921020656,0.030839696049384264,0.030839696049384264,False
MA,H,3R6,0.2374946569367124,2,5846,0.11907654921020656,0.02828004420388556,0.02828004420388556,False
MG,A,2C,0.9782301542606299,5,23478,0.24680502371610016,0.24143211642209908,0.2414321164220991,False
MG,A,2CC,0.0114312892459011,5,23478,0.24680502371610016,0.002821299613440222,0.0028212996134402224,False
MG,A,2CB,0.009801815935176707,5,23478,0.24680502371610016,0.0024191374143421357,0.002419137414342136,False
MG,A,2BC,0.0005367405582922825,5,23478,0.24680502371610016,0.00013247026621871963,0.00013247026621871966,False
MG,B,3C,0.9865456067965276,5,23478,0.20008194267164625,0.1973899615420273,0.19738996154202731,False
MG,B,2I1,0.005750136238534211,5,23478,0.20008194267164625,0.0011504984292325575,0.0011504984292325577,False
MG,B,3BB,0.0026383757683843285,5,23478,0.20008194267164625,0.0005278913492361339,0.000527891349236134,False
MG,B,2S1,0.002437967299234165,5,23478,0.20008194267164625,0.00048779323340071844,0.0004877932334007185,False
MG,B,3CB,0.002311793233270726,5,23478,0.20008194267164625,0.00046254808116797313,0.0004625480811679732,False
MG,B,3BC,0.00031612066404893306,5,23478,0.20008194267164625,6.325003658156137e-05,6.325003658156138e-05,False
MG,C,4CD,0.8468856231487811,5,23478,0.15966214406152004,0.13521557436681086,0.1352155743668109,False
MG,C,2S2,0.1079912889590748,5,23478,0.15966214406152004,0.01724212073517304,0.017242120735173044,False
MG,C,2I2,0.0280992547984381,5,23478,0.15966214406152004,0.004486387267649583,0.004486387267649584,False
MG,C,4CB,0.007468671679197994,5,23478,0.15966214406152004,0.001192464133592305,0.0011924641335923053,False
MG,C,2C2,0.0038596491228070177,5,23478,0.15966214406152004,0.0006162398542725336,0.0006162398542725337,False
MG,C,4C,0.0031955122917010394,5,23478,0.15966214406152004,0.0005102023438679294,0.0005102023438679295,False
MG,C,4DB,0.0025,5,23478,0.15966214406152004,0.0003991553601538001,0.00039915536015380017,False
MG,D,2S3,0.9081521559497377,5,23478,0.09850454624245576,0.08945711604093684,0.08945711604093685,False
MG,D,3I2,0.02446601060637271,5,23478,0.09850454624245576,0.002410013273143854,0.0024100132731438542,False
MG,D,2I3,0.02407087097535566,5,23478,0.09850454624245576,0.0023710902230881076,0.002371090223088108,False
MG,D,3S2,0.02234732499283712,5,23478,0.09850454624245576,0.0022013131081521113,0.0022013131081521117,False
MG,D,3C2,0.02096363747569685,5,23478,0.09850454624245576,0.002065013597134859,0.0020650135971348594,False
