UF,CODIGO_BR,_PESADOS_TOTAL,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D
MS,158,2207.0,135.0,144.0,126.0,78.0,268.0,160.0,6.0,166.0,140.0,149.0,130.0,81.0,278.0,167.0,6.0,173.0
MS,163,2895.0,231.0,201.0,164.0,104.0,309.0,203.0,3.0,175.0,250.0,218.0,177.0,113.0,335.0,220.0,3.0,189.0
MS,262,1543.0,165.0,106.0,91.0,51.0,167.0,73.0,1.0,115.0,166.0,107.0,91.0,52.0,168.0,74.0,1.0,115.0
MS,267,1296.0,92.0,119.0,85.0,54.0,156.0,43.0,1.0,89.0,95.0,122.0,88.0,55.0,160.0,44.0,1.0,92.0
MS,376,767.0,169.0,70.0,73.0,16.0,33.0,16.0,0.0,8.0,168.0,70.0,72.0,16.0,32.0,16.0,0.0,8.0
MT,070,6783.0,307.0,346.0,355.0,268.0,903.0,346.0,7.0,871.0,305.0,344.0,353.0,266.0,896.0,344.0,7.0,865.0
MT,163,5981.0,287.0,269.0,285.0,206.0,742.0,266.0,6.0,842.0,304.0,286.0,302.0,218.0,787.0,282.0,7.0,892.0
MT,174,1342.0,136.0,146.0,87.0,61.0,185.0,37.0,1.0,71.0,116.0,125.0,74.0,52.0,158.0,32.0,1.0,60.0
MT,364,1124.0,78.0,50.0,46.0,42.0,125.0,57.0,1.0,176.0,74.0,47.0,44.0,40.0,120.0,55.0,1.0,168.0
PA,010,3704.0,603.0,362.0,239.0,204.0,264.0,85.0,7.0,79.0,609.0,366.0,241.0,206.0,267.0,85.0,7.0,80.0
PA,158,309.0,17.0,32.0,5.0,15.0,23.0,23.0,4.0,36.0,17.0,31.0,5.0,15.0,23.0,23.0,4.0,36.0
PA,222,582.0,120.0,73.0,30.0,28.0,34.0,15.0,1.0,13.0,103.0,62.0,26.0,24.0,29.0,12.0,0.0,12.0
PB,101,5329.0,895.0,621.0,370.0,279.0,273.0,94.0,4.0,54.0,946.0,656.0,392.0,294.0,288.0,100.0,5.0,58.0
PB,104,1924.0,634.0,186.0,58.0,33.0,39.0,8.0,1.0,8.0,627.0,184.0,57.0,33.0,39.0,8.0,1.0,8.0
PB,230,2937.0,692.0,468.0,37.0,103.0,105.0,41.0,6.0,7.0,702.0,474.0,38.0,104.0,106.0,41.0,6.0,7.0
PB,361,377.0,117.0,55.0,7.0,1.0,2.0,0.0,0.0,0.0,123.0,58.0,8.0,2.0,2.0,1.0,0.0,1.0
PB,408,159.0,58.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,59.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0
PB,412,493.0,115.0,65.0,25.0,13.0,25.0,11.0,2.0,12.0,96.0,54.0,21.0,11.0,21.0,10.0,2.0,10.0
PE,104,429.0,106.0,63.0,4.0,12.0,8.0,3.0,1.0,0.0,124.0,74.0,5.0,14.0,10.0,4.0,1.0,0.0
PE,116,2312.0,265.0,279.0,169.0,134.0,298.0,43.0,2.0,80.0,218.0,229.0,139.0,110.0,244.0,35.0,2.0,65.0
PE,122,1801.0,437.0,222.0,100.0,49.0,82.0,25.0,1.0,33.0,392.0,199.0,90.0,44.0,73.0,23.0,1.0,30.0
PE,232,6104.0,1530.0,673.0,284.0,225.0,248.0,49.0,11.0,52.0,1511.0,664.0,280.0,223.0,245.0,48.0,10.0,51.0
PE,316,1512.0,222.0,185.0,103.0,57.0,115.0,33.0,2.0,64.0,208.0,174.0,96.0,53.0,108.0,31.0,1.0,60.0
PE,408,2879.0,915.0,385.0,71.0,45.0,37.0,11.0,1.0,8.0,873.0,368.0,68.0,43.0,35.0,10.0,1.0,8.0
PE,423,2046.0,337.0,249.0,122.0,95.0,145.0,16.0,1.0,23.0,361.0,267.0,131.0,102.0,155.0,17.0,1.0,24.0
PI,135,610.0,87.0,89.0,32.0,20.0,53.0,14.0,0.0,28.0,77.0,79.0,29.0,18.0,47.0,12.0,0.0,25.0
PI,226,1854.0,386.0,218.0,93.0,51.0,90.0,28.0,2.0,62.0,383.0,217.0,93.0,51.0,89.0,28.0,2.0,61.0
PI,230,708.0,72.0,54.0,33.0,17.0,55.0,23.0,1.0,59.0,91.0,68.0,41.0,22.0,69.0,28.0,1.0,74.0
PI,316,1231.0,142.0,151.0,104.0,58.0,106.0,16.0,1.0,22.0,149.0,159.0,110.0,61.0,111.0,17.0,1.0,23.0
PI,324,289.0,21.0,20.0,8.0,15.0,17.0,25.0,5.0,15.0,27.0,26.0,11.0,19.0,22.0,32.0,6.0,20.0
PI,343,413.0,104.0,69.0,13.0,6.0,6.0,2.0,0.0,1.0,108.0,72.0,13.0,7.0,7.0,3.0,0.0,2.0
PI,407,687.0,115.0,79.0,53.0,26.0,48.0,5.0,0.0,6.0,123.0,85.0,56.0,28.0,52.0,5.0,0.0,6.0
PR,116,13939.0,874.0,1442.0,1449.0,1123.0,769.0,774.0,18.0,429.0,897.0,1480.0,1487.0,1153.0,789.0,795.0,19.0,441.0
PR,153,4083.0,312.0,323.0,243.0,159.0,567.0,258.0,3.0,285.0,281.0,291.0,218.0,143.0,510.0,232.0,2.0,256.0
PR,163,3771.0,351.0,327.0,240.0,108.0,368.0,227.0,1.0,124.0,407.0,379.0,278.0,125.0,427.0,263.0,2.0,144.0
PR,272,797.0,137.0,82.0,64.0,20.0,60.0,28.0,1.0,14.0,131.0,79.0,62.0,20.0,58.0,27.0,0.0,14.0
PR,277,9952.0,813.0,830.0,658.0,399.0,1063.0,769.0,5.0,377.0,833.0,851.0,675.0,409.0,1090.0,788.0,5.0,387.0
PR,369,3825.0,594.0,480.0,282.0,104.0,339.0,77.0,1.0,44.0,589.0,476.0,279.0,103.0,337.0,76.0,1.0,43.0
PR,373,2548.0,251.0,244.0,152.0,101.0,235.0,244.0,0.0,44.0,252.0,245.0,152.0,102.0,236.0,246.0,0.0,44.0
PR,376,13574.0,1359.0,1409.0,1295.0,915.0,682.0,687.0,16.0,381.0,1376.0,1427.0,1311.0,927.0,691.0,696.0,16.0,386.0
PR,476,2802.0,214.0,237.0,108.0,112.0,445.0,178.0,6.0,101.0,214.0,237.0,108.0,112.0,445.0,178.0,6.0,101.0
PR,487,615.0,84.0,61.0,36.0,13.0,34.0,68.0,0.0,13.0,83.0,61.0,36.0,13.0,33.0,67.0,0.0,13.0
RJ,040,3184.0,630.0,335.0,216.0,126.0,181.0,23.0,1.0,19.0,680.0,362.0,233.0,136.0,195.0,25.0,2.0,20.0
RJ,101,12237.0,3534.0,630.0,359.0,233.0,346.0,34.0,1.0,37.0,4823.0,860.0,490.0,318.0,472.0,47.0,2.0,51.0
RJ,116,12698.0,1651.0,1304.0,1233.0,768.0,1174.0,116.0,5.0,136.0,1631.0,1288.0,1218.0,759.0,1160.0,115.0,5.0,135.0
RJ,356,1290.0,268.0,117.0,79.0,39.0,110.0,18.0,1.0,19.0,263.0,115.0,78.0,39.0,108.0,18.0,0.0,18.0
RJ,393,3269.0,436.0,332.0,290.0,226.0,305.0,19.0,1.0,18.0,440.0,335.0,293.0,228.0,308.0,19.0,1.0,18.0
RJ,465,1164.0,95.0,61.0,58.0,52.0,80.0,12.0,0.0,10.0,205.0,132.0,125.0,112.0,174.0,27.0,0.0,21.0
RJ,493,3622.0,1001.0,373.0,205.0,120.0,128.0,17.0,1.0,20.0,943.0,351.0,193.0,113.0,121.0,16.0,1.0,19.0
RN,101,4386.0,1145.0,468.0,222.0,167.0,170.0,39.0,3.0,30.0,1093.0,447.0,212.0,159.0,162.0,38.0,3.0,28.0
RN,110,794.0,182.0,75.0,42.0,31.0,38.0,10.0,1.0,9.0,190.0,79.0,44.0,33.0,40.0,10.0,1.0,9.0
RN,226,953.0,168.0,115.0,65.0,48.0,58.0,13.0,1.0,10.0,167.0,114.0,64.0,48.0,58.0,13.0,1.0,10.0
RN,304,1901.0,321.0,219.0,123.0,92.0,111.0,24.0,1.0,19.0,349.0,238.0,134.0,100.0,121.0,27.0,2.0,20.0
RN,405,525.0,130.0,78.0,18.0,8.0,18.0,7.0,1.0,3.0,129.0,78.0,18.0,8.0,18.0,7.0,1.0,3.0
RN,406,654.0,131.0,72.0,47.0,24.0,37.0,18.0,1.0,8.0,123.0,67.0,44.0,22.0,35.0,16.0,1.0,8.0
RN,427,298.0,75.0,38.0,2.0,9.0,17.0,4.0,0.0,1.0,78.0,39.0,2.0,10.0,18.0,4.0,0.0,1.0
