UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used
MG,F,3T4,0.6682141019730665,5,23478
MG,F,4DT,0.27994190251943435,5,23478
MG,F,4R3,0.0024530112585726656,5,23478
MG,G,3P5,0.3333333333333333,5,23478
MG,G,3V5,0.6666666666666666,5,23478
MG,H,3M6,0.6869042729345606,5,23478
MG,H,3T6,0.3130957270654395,5,23478
MS,A,2C,0.96875,1,3274
MS,A,2CB,0.015625,1,3274
MS,A,2CC,0.015625,1,3274
MS,B,2I1,0.008849557522123894,1,3274
MS,B,3BB,0.008849557522123894,1,3274
MS,B,3C,0.9823008849557522,1,3274
MS,C,2S2,0.11235955056179775,1,3274
MS,C,4BD,0.011235955056179775,1,3274
MS,C,4CD,0.8764044943820225,1,3274
MS,D,2S3,0.8285714285714286,1,3274
MS,D,3C2,0.04285714285714286,1,3274
MS,D,3I2,0.014285714285714285,1,3274
MS,D,3S2,0.11428571428571428,1,3274
MS,E,3C3,0.004518072289156627,1,3274
MS,E,3I1,0.004518072289156627,1,3274
MS,E,3I3,0.14457831325301207,1,3274
MS,E,3LD,0.004518072289156627,1,3274
MS,E,3S3,0.8418674698795182,1,3274
MS,F,3T4,0.9298440979955457,1,3274
MS,F,4DT,0.06904231625835189,1,3274
MS,F,4R3,0.0011135857461024498,1,3274
MS,G,3V5,1.0,1,3274
MS,H,3M6,0.052587646076794656,1,3274
MS,H,3R6,0.08597662771285476,1,3274
MS,H,3T6,0.8614357262103506,1,3274
MT,A,2C,0.9784047370254267,3,14577
MT,A,2CC,0.02159526297457332,3,14577
MT,B,2I1,0.0005446623093681918,3,14577
MT,B,2S1,0.0005446623093681918,3,14577
MT,B,3C,0.9949891067538127,3,14577
MT,B,3CB,0.00392156862745098,3,14577
MT,C,2C2,0.029411764705882356,3,14577
MT,C,2I2,0.03161077515118196,3,14577
MT,C,2S2,0.16636888400219899,3,14577
MT,C,3S1,0.016034451163643024,3,14577
MT,C,4C,0.003115264797507788,3,14577
MT,C,4CD,0.7534588601795859,3,14577
MT,D,2C3,0.0011574074074074073,3,14577
MT,D,2I3,0.014492753623188406,3,14577
MT,D,2S3,0.5535547504025765,3,14577
